epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,21259.9,1.06667,1.14314,0.02183,0.82209,0.741,0.79759,0.59266,1.131,0.97252,0.02506,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
67,21580.9,1.06646,1.14942,0.02187,0.83171,0.73471,0.79777,0.59363,1.13116,0.97556,0.02507,0.0296819,0.00989398,0.0296819,0.00989398,0.0296819,0.00989398,0.0296819,0.00989398
68,21894.7,1.06124,1.15183,0.02174,0.82728,0.73548,0.79701,0.59396,1.13041,0.97314,0.02501,0.0296723,0.00989075,0.0296723,0.00989075,0.0296723,0.00989075,0.0296723,0.00989075
69,22215,1.06386,1.15005,0.02174,0.82049,0.74015,0.79777,0.5946,1.12784,0.96927,0.02493,0.0296624,0.00988748,0.0296624,0.00988748,0.0296624,0.00988748,0.0296624,0.00988748
70,22530.5,1.06343,1.15598,0.02177,0.82986,0.73517,0.79748,0.59566,1.12783,0.97155,0.02489,0.0296525,0.00988416,0.0296525,0.00988416,0.0296525,0.00988416,0.0296525,0.00988416
71,22845.6,1.0589,1.14503,0.02155,0.81514,0.73726,0.78721,0.58292,1.12667,0.97129,0.02485,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
72,23160.6,1.06418,1.15602,0.02176,0.83913,0.72511,0.79543,0.59429,1.12524,0.97104,0.02479,0.0296321,0.00987737,0.0296321,0.00987737,0.0296321,0.00987737,0.0296321,0.00987737
73,23480.9,1.06347,1.14986,0.02167,0.83312,0.72808,0.79511,0.59517,1.124,0.96929,0.02477,0.0296217,0.00987391,0.0296217,0.00987391,0.0296217,0.00987391,0.0296217,0.00987391
74,23798.6,1.06519,1.14817,0.02185,0.82841,0.72875,0.79633,0.59625,1.12456,0.97246,0.02481,0.0296112,0.0098704,0.0296112,0.0098704,0.0296112,0.0098704,0.0296112,0.0098704
75,24116.7,1.06306,1.14,0.02162,0.8128,0.73458,0.79648,0.59692,1.12115,0.97953,0.02469,0.0296005,0.00986684,0.0296005,0.00986684,0.0296005,0.00986684,0.0296005,0.00986684
76,24431.1,1.0631,1.15177,0.02179,0.84894,0.71477,0.79667,0.59724,1.12186,0.97658,0.02472,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
77,24750.4,1.06486,1.14245,0.0217,0.8305,0.72718,0.79615,0.59683,1.12446,0.97154,0.02484,0.0295787,0.00985958,0.0295787,0.00985958,0.0295787,0.00985958,0.0295787,0.00985958
78,25067.5,1.05835,1.13579,0.02165,0.83638,0.72442,0.79708,0.59658,1.12315,0.98033,0.02487,0.0295676,0.00985588,0.0295676,0.00985588,0.0295676,0.00985588,0.0295676,0.00985588
79,25383.7,1.06378,1.13662,0.0217,0.8371,0.7229,0.79664,0.59586,1.12382,0.98298,0.02489,0.0295564,0.00985213,0.0295564,0.00985213,0.0295564,0.00985213,0.0295564,0.00985213
80,25698.8,1.05928,1.13621,0.02165,0.82955,0.72996,0.79335,0.5914,1.12853,0.98365,0.02506,0.029545,0.00984833,0.029545,0.00984833,0.029545,0.00984833,0.029545,0.00984833
